Date,Province_Name,Latitude,Longitude,Temperature,Precipitation,Price
2022-04-05,Aceh,4.3685491,97.0253024,19.33,19.32,10350.0
2022-04-06,Aceh,4.3685491,97.0253024,19.82,2.94,10350.0
2022-04-07,Aceh,4.3685491,97.0253024,19.77,2.48,10350.0
2022-04-08,Aceh,4.3685491,97.0253024,19.99,1.83,10450.0
2022-04-09,Aceh,4.3685491,97.0253024,19.8,0.21,10450.0
2022-04-10,Aceh,4.3685491,97.0253024,21.08,4.21,10450.0
2022-04-11,Aceh,4.3685491,97.0253024,19.95,1.96,10350.0
2022-04-12,Aceh,4.3685491,97.0253024,20.12,0.0,10300.0
2022-04-13,Aceh,4.3685491,97.0253024,20.57,0.0,10300.0
2022-04-14,Aceh,4.3685491,97.0253024,21.3,0.11,10300.0
2022-04-18,Aceh,4.3685491,97.0253024,20.85,0.41,10300.0
2022-04-19,Aceh,4.3685491,97.0253024,21.05,7.41,10300.0
2022-04-20,Aceh,4.3685491,97.0253024,20.1,25.65,10300.0
2022-04-21,Aceh,4.3685491,97.0253024,20.7,2.91,10300.0
2022-04-22,Aceh,4.3685491,97.0253024,20.97,0.11,10300.0
2022-04-25,Aceh,4.3685491,97.0253024,20.96,5.42,10200.0
2022-04-26,Aceh,4.3685491,97.0253024,19.57,12.65,10300.0
2022-04-27,Aceh,4.3685491,97.0253024,20.79,0.01,10300.0
2022-04-28,Aceh,4.3685491,97.0253024,21.61,0.01,10300.0
2022-05-09,Aceh,4.3685491,97.0253024,20.79,0.15,10300.0
2022-05-10,Aceh,4.3685491,97.0253024,20.71,2.73,10300.0
2022-05-11,Aceh,4.3685491,97.0253024,19.86,2.94,10300.0
2022-05-12,Aceh,4.3685491,97.0253024,19.63,0.85,10300.0
2022-05-13,Aceh,4.3685491,97.0253024,19.84,0.09,10250.0
2022-05-14,Aceh,4.3685491,97.0253024,20.9,0.1,10250.0
2022-05-17,Aceh,4.3685491,97.0253024,20.78,0.0,10300.0
2022-05-18,Aceh,4.3685491,97.0253024,20.8,0.0,10300.0
2022-05-19,Aceh,4.3685491,97.0253024,20.71,0.0,10300.0
2022-05-20,Aceh,4.3685491,97.0253024,20.0,0.0,10300.0
2022-05-21,Aceh,4.3685491,97.0253024,19.78,4.22,10300.0
2022-05-22,Aceh,4.3685491,97.0253024,19.81,0.85,10300.0
2022-05-23,Aceh,4.3685491,97.0253024,20.11,0.2,10300.0
2022-05-24,Aceh,4.3685491,97.0253024,20.23,0.62,10300.0
2022-05-25,Aceh,4.3685491,97.0253024,19.14,0.41,10300.0
2022-05-27,Aceh,4.3685491,97.0253024,18.93,0.1,10300.0
2022-05-28,Aceh,4.3685491,97.0253024,18.92,14.87,10300.0
2022-05-29,Aceh,4.3685491,97.0253024,18.67,0.59,10300.0
2022-05-30,Aceh,4.3685491,97.0253024,19.24,0.38,10300.0
2022-05-31,Aceh,4.3685491,97.0253024,19.21,3.25,10300.0
2022-06-02,Aceh,4.3685491,97.0253024,17.79,7.16,10300.0
2022-06-03,Aceh,4.3685491,97.0253024,18.31,3.68,10300.0
2022-06-04,Aceh,4.3685491,97.0253024,18.78,0.03,10300.0
2022-06-05,Aceh,4.3685491,97.0253024,19.6,17.85,10300.0
2022-06-06,Aceh,4.3685491,97.0253024,18.31,18.57,10300.0
2022-06-07,Aceh,4.3685491,97.0253024,18.37,7.3,10300.0
2022-06-08,Aceh,4.3685491,97.0253024,19.58,0.01,10250.0
2022-06-09,Aceh,4.3685491,97.0253024,20.25,11.65,10250.0
2022-06-10,Aceh,4.3685491,97.0253024,19.38,7.42,10400.0
2022-06-11,Aceh,4.3685491,97.0253024,19.88,24.23,10400.0
2022-06-12,Aceh,4.3685491,97.0253024,20.24,0.83,10400.0
2022-06-13,Aceh,4.3685491,97.0253024,20.32,16.63,10250.0
2022-06-14,Aceh,4.3685491,97.0253024,19.71,23.96,10250.0
2022-06-15,Aceh,4.3685491,97.0253024,19.07,52.46,10300.0
2022-06-16,Aceh,4.3685491,97.0253024,19.26,3.09,10300.0
2022-06-17,Aceh,4.3685491,97.0253024,20.45,0.29,10300.0
2022-06-18,Aceh,4.3685491,97.0253024,19.97,14.5,10300.0
2022-06-20,Aceh,4.3685491,97.0253024,20.29,10.12,10300.0
2022-06-21,Aceh,4.3685491,97.0253024,19.39,12.67,10300.0
2022-06-22,Aceh,4.3685491,97.0253024,19.12,13.29,10300.0
2022-06-23,Aceh,4.3685491,97.0253024,19.24,43.41,10300.0
2022-06-24,Aceh,4.3685491,97.0253024,19.2,3.89,10300.0
2022-06-27,Aceh,4.3685491,97.0253024,19.02,1.85,10300.0
2022-06-28,Aceh,4.3685491,97.0253024,18.76,0.62,10300.0
2022-06-29,Aceh,4.3685491,97.0253024,18.94,1.74,10300.0
2022-06-30,Aceh,4.3685491,97.0253024,18.38,0.44,10300.0
2022-07-01,Aceh,4.3685491,97.0253024,18.02,12.87,10300.0
2022-07-02,Aceh,4.3685491,97.0253024,19.09,14.01,10300.0
2022-07-03,Aceh,4.3685491,97.0253024,17.69,7.38,10300.0
2022-07-04,Aceh,4.3685491,97.0253024,18.55,6.31,10300.0
2022-07-05,Aceh,4.3685491,97.0253024,18.4,0.19,10300.0
2022-07-06,Aceh,4.3685491,97.0253024,18.53,0.0,10300.0
2022-07-07,Aceh,4.3685491,97.0253024,19.24,0.95,10300.0
2022-07-08,Aceh,4.3685491,97.0253024,18.72,2.09,10300.0
2022-07-09,Aceh,4.3685491,97.0253024,18.0,3.47,10300.0
2022-07-10,Aceh,4.3685491,97.0253024,18.68,0.51,10300.0
2022-07-11,Aceh,4.3685491,97.0253024,19.01,1.12,10300.0
2022-07-12,Aceh,4.3685491,97.0253024,18.68,1.08,10300.0
2022-07-13,Aceh,4.3685491,97.0253024,19.23,0.02,10300.0
2022-07-14,Aceh,4.3685491,97.0253024,19.76,0.06,10300.0
2022-07-15,Aceh,4.3685491,97.0253024,19.5,2.61,10300.0
2022-07-18,Aceh,4.3685491,97.0253024,20.01,0.0,10300.0
2022-07-19,Aceh,4.3685491,97.0253024,19.45,0.0,10300.0
2022-07-20,Aceh,4.3685491,97.0253024,19.56,0.0,10300.0
2022-07-21,Aceh,4.3685491,97.0253024,19.59,5.86,10300.0
2022-07-22,Aceh,4.3685491,97.0253024,19.87,4.17,10300.0
2022-07-25,Aceh,4.3685491,97.0253024,19.84,13.91,10350.0
2022-07-26,Aceh,4.3685491,97.0253024,19.93,14.92,10350.0
2022-07-27,Aceh,4.3685491,97.0253024,19.66,8.87,10350.0
2022-07-28,Aceh,4.3685491,97.0253024,19.65,8.13,10350.0
2022-07-29,Aceh,4.3685491,97.0253024,18.37,5.12,10350.0
2022-07-30,Aceh,4.3685491,97.0253024,18.0,4.38,10350.0
2022-07-31,Aceh,4.3685491,97.0253024,19.84,0.11,10350.0
2022-08-01,Aceh,4.3685491,97.0253024,19.95,4.14,10400.0
2022-08-02,Aceh,4.3685491,97.0253024,18.92,39.06,10550.0
2022-08-03,Aceh,4.3685491,97.0253024,17.84,7.53,10550.0
2022-08-04,Aceh,4.3685491,97.0253024,18.24,0.64,10550.0
2022-08-05,Aceh,4.3685491,97.0253024,19.41,0.05,10450.0
2022-08-06,Aceh,4.3685491,97.0253024,18.82,0.09,10450.0
2022-08-07,Aceh,4.3685491,97.0253024,18.6,0.0,10450.0
2022-08-08,Aceh,4.3685491,97.0253024,18.51,0.0,10600.0
2022-08-09,Aceh,4.3685491,97.0253024,18.88,0.0,10550.0
2022-08-10,Aceh,4.3685491,97.0253024,20.2,0.0,10600.0
2022-08-11,Aceh,4.3685491,97.0253024,20.23,0.0,10600.0
2022-08-12,Aceh,4.3685491,97.0253024,19.83,0.1,10600.0
2022-08-13,Aceh,4.3685491,97.0253024,19.73,19.25,10600.0
2022-08-14,Aceh,4.3685491,97.0253024,20.58,10.34,10600.0
2022-08-15,Aceh,4.3685491,97.0253024,19.01,10.76,10650.0
2022-08-16,Aceh,4.3685491,97.0253024,19.46,3.68,10650.0
2022-08-17,Aceh,4.3685491,97.0253024,19.7,5.94,11050.0
2022-08-18,Aceh,4.3685491,97.0253024,19.97,22.09,10650.0
2022-08-19,Aceh,4.3685491,97.0253024,20.68,23.72,10700.0
2022-08-22,Aceh,4.3685491,97.0253024,18.81,1.58,10700.0
2022-08-23,Aceh,4.3685491,97.0253024,19.29,0.08,10750.0
